chunk_id,session_id,sequence_num,trans_dt,source_id,cur_chunk,cur_chunk_start,cur_chunk_end,ground_truth_label,ground_truth_label_num,ground_truth_label_c,major_trans_timestamp,first_sent_to_second_state
10,0,11,2024-04-27 20:49:10.497050,0," and he was lights out.

This was a loss, though, against the Hawks in OT. Curry goes for 60 points, 38 field goal attempts, he made 10 threes, the second oldest player with a 60-point game. The late ",00:02:45.000115,00:03:00.000015,SPORTS_BROADCASTING,0,0,,
11,0,12,2024-04-27 20:49:10.514596,0," Kobe Bryant did it at the age of 37.

Countdown to tipoff continues. Coming up, Bridges from downtown. Meghan has that story as we get you ready for the Nets and Warriors here on YES. ",00:03:00.000016,00:03:15.000388,SPORTS_BROADCASTING,0,0,,
12,0,13,2024-04-27 20:49:10.533596,0,"

Welcome to the home of blackjack, with the largest library of blackjack games online, Spanish 21, Live Dealin', Vacation Blackjack, and more. Download America's number one online ",00:03:15.000389,00:03:30.000303,SPORTS_BROADCASTING-TO-COMMERCIAL,1,1,00:03:21.000000,1
13,0,14,2024-04-27 20:49:10.551597,0," casino app to enjoy this great offer. DraftKings Casino, the crown is yours.

From starting strong, to it's been a week, so many ways to save. ",00:03:30.000304,00:03:45.000200,COMMERCIAL-TO-ANOTHER COMMERCIAL,3,1,,
14,0,15,2024-04-27 20:49:10.569597,0," Life ready, wallet happy, that's 365 by Whole Foods Market.

Powering sustainable growth in a changing world. Powering financial solutions that transform industries. Powering ",00:03:45.000201,00:04:00.000168,COMMERCIAL-TO-ANOTHER COMMERCIAL,3,1,,
15,0,16,2024-04-27 20:49:10.586595,0, innovation with access to capital. Powering critical decisions with precise data and insights. Powering seamless execution in evolving markets. We deliver our entire global bank to power new possibilities ,00:04:00.000169,00:04:15.000133,COMMERCIAL,2,1,,
16,0,17,2024-04-27 20:49:10.628175,0," for you. Barclays Corporate and Investment Bank, powering possible.

 Well, hold on to the little things
Because in the morning, everything is changing...

Is this yours? ",00:04:15.000134,00:04:30.000291,COMMERCIAL-TO-ANOTHER COMMERCIAL,3,1,,
17,0,18,2024-04-27 20:49:10.646174,0," You ready?

Surprise.



I got this. It's yours now. ",00:04:30.000292,00:04:45.000115,COMMERCIAL,2,1,,
18,0,19,2024-04-27 20:49:10.669175,0,"

It's just a moment they call a lifetime 

Are we having a good time so far tonight?

Hi, I'm Mark Franzoso, and I am so proud to be chosen ""Westchester Magazine's"" Best Roofing ",00:04:45.000116,00:05:00.000053,COMMERCIAL-TO-ANOTHER COMMERCIAL,3,1,,
19,0,20,2024-04-27 20:49:10.688178,0," Company for the sixth year in a row.

This year, we also won Best General Contractor for our excellence in siding and window replacement.

Find out why Franzoso Contracting is the best choice for your home. Give us a call today.

Franzoso Contracting, ",00:05:00.000054,00:05:15.000140,COMMERCIAL,2,1,,
20,0,21,2024-04-27 20:49:10.706205,0," celebrating 43 years in business. Let us renew your home.

Welcome back to Barclays Center, as we get you set for a fun ",00:05:15.000141,00:05:30.000365,COMMERCIAL-TO-SPORTS_BROADCASTING,4,1,00:05:24.000000,3
21,0,22,2024-04-27 20:49:10.723755,0," Monday night matchup between the Brooklyn Nets and the Golden State Warriors.

What's up, everyone? I am Meghan Triplett, and tonight begins a five-game home stretch for the Brooklyn Nets team. And Nets fans can maybe expect ",00:05:30.000366,00:05:45.000035,SPORTS_BROADCASTING,0,0,,
22,0,23,2024-04-27 20:49:10.740754,0," Mikal Bridges shooting from downtown. Check out his latest numbers. Mikal has made 5-plus-3 in a career-best three straight games. If he makes it four tonight, that would tie the franchise record. Mikal has also multiple threes in a career-long 12 straight games. Earlier today at Shootaround, Mikal spoke about his shooting from downtown.

I'm not taking threes because I don't want to take middies. I don't think that's... That's not the situation, so I don't know how everybody thinks. It's just, you know, ",00:05:45.000036,00:06:15.000441,SPORTS_BROADCASTING,0,0,,
23,0,24,2024-04-27 20:49:10.758755,0," I've just been working a lot on just pulling threes in general for a while, and it just feels really good. And you know, how the defense is, the big might be back, so it just makes it, especially if I'm liking the shot...I just won't shoot nothing I don't like, and I'm ",00:06:15.000442,00:06:30.000090,SPORTS_BROADCASTING,0,0,,
24,0,25,2024-04-27 20:49:10.775755,0," not comfortable with it. And I feel like earlier in the season, even last year, I just wasn't that capable of making that many pull-up threes as much as I want. But just feeling comfortable with it, just as more as I work out every day. That's why I'm just adding to it. It's nothing to do with taking away middies. I love middies. I'll never take it out ",00:06:30.000091,00:06:45.000721,SPORTS_BROADCASTING,0,0,,
25,0,26,2024-04-27 20:49:10.794786,0," of my game. It's just, I'm just trying to add towards, you know, my game. That's all.

It's the Brooklyn Nets and the Golden State Warriors coming up right here on YES. Ian Eagle and Sarah Kustok have the call. ",00:06:45.000722,00:07:00.000113,SPORTS_BROADCASTING,0,0,,
26,0,27,2024-04-27 20:49:10.813333,0,"

In 1975, when the ABA merged with the NBA, Julius Irving brought his signature slam dunk to mainstream basketball. Better known as Dr. J, not only was he known for his high-flying acrobatics, but also was one of the first to have a shoe marketed under his name. Julius ""Dr. J"" Irving, one of the game's original pioneers. ",00:07:00.000114,00:07:30.000341,SPORTS_BROADCASTING,0,0,,
27,0,28,2024-04-27 20:49:10.834360,0,"

Having health insurance is important, so if anyone in your family has Medicaid or CHIP, listen up. Check the mail for your renewal form, complete the form, ",00:07:30.000342,00:07:45.000096,SPORTS_BROADCASTING-TO-COMMERCIAL,1,1,00:07:31.000000,1
28,0,29,2024-04-27 20:49:10.855333,0," and mail it back right away so you don't lose your coverage. If you do lose your coverage, visit healthcare.gov to see if you're eligible to enroll in a low-cost, quality health plan. Healthcare.gov. ",00:07:45.000097,00:08:00.000060,COMMERCIAL-TO-ANOTHER COMMERCIAL,3,1,,
29,0,30,2024-04-27 20:49:10.876333,0,"

We're building a better postal service, all parts working in sync to move your business forward. With a streamlined shipping network, and new high-speed processing and delivery centers ",00:08:00.000061,00:08:15.000060,COMMERCIAL,2,1,,
30,0,31,2024-04-27 20:49:10.895364,0," for more value, more reliability, and more on-time deliveries. The United States Postal Service is built for how you business, and how you business is with simple, affordable, and reliable shipping. USPS Ground Advantage. ",00:08:15.000061,00:08:30.000327,COMMERCIAL-TO-ANOTHER COMMERCIAL,3,1,,
31,0,32,2024-04-27 20:49:10.915943,0,"

If you watch YES Network on TV, then you get the YES app for free. Download the app to stream the Nets, and experience the game in a whole new way, with a live stat overlay to track ",00:08:30.000328,00:08:45.000230,COMMERCIAL,2,1,,
32,0,33,2024-04-27 20:49:10.941943,0," your favorite players, free-to-play gaming with big cash prizes, and earn and redeem rewards for gift cards and gear.

So remember, if you get YES on TV, then you get the YES app for free. Download now. ",00:08:45.000231,00:09:00.000055,COMMERCIAL-TO-ANOTHER COMMERCIAL,3,1,,
33,0,34,2024-04-27 20:49:10.963943,0,"

Nets basketball on YES is brought to you by FanDuel. Right now, new customers get $200 in bonus bets when your first $5 bet hits. Download the FanDuel Sportsbook app now, and start making ",00:09:00.000056,00:09:15.000450,COMMERCIAL,2,1,,
34,0,35,2024-04-27 20:49:10.986668,0," every moment more.

By Netsstore.com, shop the latest Nets gear all year round at the official online store of the Brooklyn Nets.

And by Morgan & Morgan, America's largest injury law firm. ",00:09:15.000451,00:09:30.000186,COMMERCIAL,2,1,,
35,0,36,2024-04-27 20:49:11.004676,0," Injured? Visit forthepeople.com.

We're set to go, the Nets and the Warriors. Let's check out the starting lineups, presented by Webull, learning, sharing, investing.

It is ",00:09:30.000187,00:09:45.000132,COMMERCIAL-TO-SPORTS_BROADCASTING,4,1,00:09:40.000000,3
36,0,37,2024-04-27 20:49:11.023247,0," the rookie, Brandin Podziemski, getting the start. Anthony Wiggins is out with a foot injury...I should say Andrew Wiggins out with a foot injury. Draymond Green, of course, back with Golden State, and the offense has lifted up a couple of levels ",00:09:45.000133,00:10:00.000188,SPORTS_BROADCASTING,0,0,,
37,0,38,2024-04-27 20:49:11.042246,0," with him in the lineup. The Nets still dealing with injuries of their own. Dorian Finney-Smith continues to sit. Smith has got the left ankle sprain, missing his fourth straight game. But Dennis Smith Jr. is back, ",00:10:00.000189,00:10:15.000534,SPORTS_BROADCASTING,0,0,,
38,0,39,2024-04-27 20:49:11.066249,0," with a right foot injury. He didn't play against Philadelphia, he will be available tonight, and should play some valuable minutes.

Yeah, without a doubt. And this Nets team has dealt with injuries, as all teams have, across the league, but the in and out combinations ",00:10:15.000535,00:10:30.000424,SPORTS_BROADCASTING,0,0,,
39,0,40,2024-04-27 20:49:11.085247,0," of lineups, rotations, all of those things are the continued work of Jacque Vaughn, and his coaching staff, to try and piece things together.

The officiating crew tonight, Mark Lindsay, Nick Buchert, and Nate Green. The Nets won three of their last four, they went 3 and 12 over the previous 15 games, and the Nets control the tip. A blowout win over Philadelphia, 136 to 121, the score doesn't even indicate how lopsided it was. ",00:10:30.000425,00:11:00.000042,SPORTS_BROADCASTING,0,0,,
40,0,41,2024-04-27 20:49:11.104253,0," The Nets led by as many as 30, and never trailed against the Sixers, and Cam Thomas went for 40 points.

Defense, Green, Thomas gives it up, shot clock is winding down. Claxton takes it in, the adjustment didn't ",00:11:00.000043,00:11:15.000337,SPORTS_BROADCASTING,0,0,,
41,0,42,2024-04-27 20:49:11.122811,0," get it over the rim.

And for Kuminga, nice help, coming over and being ready for that move.

And the Curry jumper is (indiscernible) A lot of Steph Curry fans in attendance tonight here in Brooklyn. ",00:11:15.000338,00:11:30.000069,SPORTS_BROADCASTING,0,0,,
42,0,43,2024-04-27 20:49:11.141792,0," Nets shot at 52% as a team against Philadelphia. Thomas is fouled by Podziemski. You could just copyright that Cam Thomas, he knows when he's got a defender ",00:11:30.000070,00:11:45.000347,SPORTS_BROADCASTING,0,0,,
43,0,44,2024-04-27 20:49:11.164794,0," beat.

And he does such a good job, as you see him turn the corner, getting to his spot. He got Podziemski on his hip, makes a little bit of contact. But that shot fake gets him up in the air, and that's where, for Thomas, he's savvy in knowing who's on him, and how to use his body ",00:11:45.000348,00:12:00.000258,SPORTS_BROADCASTING,0,0,,
44,0,45,2024-04-27 20:49:11.182791,0," control, and angles.

Jump, two free throws here for Cam Thomas. Nets on the board. Nets have lost nine straight to Philadelphia, including playoffs, prior to that victory on Saturday. ",00:12:00.000259,00:12:15.000243,SPORTS_BROADCASTING,0,0,,
45,0,46,2024-04-27 20:49:11.201823,0," Currently in the 11th spot in the Eastern Conference, a game-and-a-half behind Atlanta at 10, two behind Chicago at 9.

And the impressive part, in fairness, Joel Embiid was not playing, Tobias Harris was not playing, Philadelphia has been playing without De'Anthony Melton, and others, ",00:12:15.000244,00:12:30.000410,SPORTS_BROADCASTING,0,0,,
46,0,47,2024-04-27 20:49:11.219983,0," but they set the tone early, and they took care of business.

High-low action, but a whistle stops play, and it's Cam Thomas called for the foul before Kuminga got the ball, so on the side.

And take a look right here, there's a little ",00:12:30.000411,00:12:45.000122,SPORTS_BROADCASTING,0,0,,
47,0,48,2024-04-27 20:49:11.237982,0," bit of a wrap to begin with. watch, they could do a nice job. You would have a wide open layup, and you mentioned it, Kuminga has been playing fantastic for this Golden State team.

Johnson knocks it away from ",00:12:45.000123,00:13:00.000278,SPORTS_BROADCASTING,0,0,,
48,0,49,2024-04-27 20:49:11.256981,0," Kuminga, and the Nets are on the move. Bridges, the pull-up...too strong.

We've got it by Podziemski. Kuminga, last ten games, 23.3 points per game, six rebounds. 141-134 loss to Atlanta in overtime ",00:13:00.000279,00:13:15.000401,SPORTS_BROADCASTING,0,0,,
49,0,50,2024-04-27 20:49:11.275981,0," on Saturday night, third game of a five-game road trip for Golden State. Kuminga one and done.

The impressive thing with Kuminga is how efficient he has been from the  It's not just about the numbers, but how accurate he's been. ",00:13:15.000402,00:13:30.000164,SPORTS_BROADCASTING,0,0,,
50,0,51,2024-04-27 20:49:11.297031,0,"

We're tied at two. Bridges takes it at the rookie, the floater off. Rebounded by Green. Podziemski, a rookie out of Santa Clara, has fit in nicely with his Golden State squad. ",00:13:30.000165,00:13:45.000314,SPORTS_BROADCASTING,0,0,,
51,0,52,2024-04-27 20:49:11.320597,0," Curry, that was a contested three from way outside, doesn't go.

- Yeah, and their spacing, there's balance for the Warriors. Podziemski moves well without the ball. We've seen a lot of cutting early from Kuminga as well.

Dinwiddie gets off, ",00:13:45.000315,00:14:00.000133,SPORTS_BROADCASTING,0,0,,
52,0,53,2024-04-27 20:49:11.342596,0," neither team making shots. Nets are 0 of 4. The bounce, Kuminga is going to challenge, right to the chest of Thomas, and it's off the rim. Nets up the floor in a hurry. Thomas ",00:14:00.000134,00:14:15.000233,SPORTS_BROADCASTING,0,0,,
53,0,54,2024-04-27 20:49:11.361597,0," on a kick, Bridges lets it fly, no good. Weak side rebound for Green. Loop it ahead for Thompson, getting his first touch. Fend off, over Johnson for two. ",00:14:15.000234,00:14:30.000272,SPORTS_BROADCASTING,0,0,,
54,0,55,2024-04-27 20:49:11.381597,0,"

Klay Thompson puts Golden State in front 4-2. Nets still looking for their first field goal, 0 of 5. Dinwiddie, the jumper...Buchert, it's a three.

Good to see it go through, and especially ",00:14:30.000273,00:14:45.000203,SPORTS_BROADCASTING,0,0,,
55,0,56,2024-04-27 20:49:11.400631,0," for Spencer Dinwiddie. And a little inconsistent what he inconsistent with what his offenses look like, and some of that is the effectiveness from the three-point line, the picking and choosing of driving, distributing. All of those things have factored in for the consistency you need out of him. ",00:14:45.000204,00:15:00.000389,SPORTS_BROADCASTING,0,0,,
56,0,57,2024-04-27 20:49:11.420149,0,"

Podziemski, the drive, negated by Claxton. He thought he had single coverage with Thomas. He didn't know that Claxton was going to make up that amount of ground in a hurry.

And take a look at this. I mean, look at how far behind Claxton is. Thomas was just enough for force that  by Podziemski, and Claxton just coming through strong in the recovery.

And a takeaway for Brooklyn off the inbound, Bridges down the middle, kick out, Dinwiddie back-to-back? No. ",00:15:00.000390,00:15:30.000040,SPORTS_BROADCASTING,0,0,,
57,0,58,2024-04-27 20:49:11.438148,0," Rebounded by Thompson.

It's a strong closeout by Draymond Green.

Dinwiddie, the extension, Thompson, ball fake, couldn't finish it. And here's Johnson the other way for Brooklyn. Warriors are 2 of 8. Thomas, ",00:15:30.000041,00:15:45.000140,SPORTS_BROADCASTING,0,0,,
58,0,59,2024-04-27 20:49:11.458147,0," tough delivery, bottoms.

He's a little hesi there. He was waiting to see what Podziemski was going to do. That's..The quickness of when he releases the shot is the added part of his bag.

Maybe I should say tough delivery for most, ",00:15:45.000141,00:16:00.000281,SPORTS_BROADCASTING,0,0,,
59,0,60,2024-04-27 20:49:11.477147,0," but not him. Kuminga bangs it in from the outside.

He doesn't predetermine when he's going to shoot, how he's going to shoot. It's the continued read of his defender that is what gets him open.

Bridges coming off a 23-point game ",00:16:00.000282,00:16:15.000123,SPORTS_BROADCASTING,0,0,,
60,0,61,2024-04-27 20:49:11.496156,0," against Philadelphia, got caught in no man's land, turnover. Warriors trying to regain the lead here, eight-minute mark of the first. He spread it around, Kuminga using the screen, hooks inside, and an easy deuce ",00:16:15.000124,00:16:30.000146,SPORTS_BROADCASTING,0,0,,
61,0,62,2024-04-27 20:49:11.516307,0," for Jonathan Kuminga.

Say it again, too easy. And he's got two defenders in front of him. He just goes right around Bridges, Claxton right there, miscommunication defensively.

Thomas, hesitation. ",00:16:30.000147,00:16:45.000003,SPORTS_BROADCASTING,0,0,,
62,0,63,2024-04-27 20:49:11.536306,0," Kuminga's a tree in there, but Thomas could not finish. Beautiful spin to the rim.

He did all the hard work.

Green bullet feed, and Curry not there. Green thought he was going to cut all the way ",00:16:45.000004,00:17:00.000007,SPORTS_BROADCASTING,0,0,,
63,0,64,2024-04-27 20:49:11.554306,0," underneath. Third turnover for Stephen Curry's squad.

And that's an area where the Warriors can be susceptible  the basketball for a Brooklyn team that wants to run and get out, that's what they did against Philadelphia, ",00:17:00.000008,00:17:15.000162,SPORTS_BROADCASTING,0,0,,
64,0,65,2024-04-27 20:49:11.574308,0," you've got to try to take advantage of it.

Nets have improved forcing turnovers over this last month. Out of bounds off of Curry, that's retained with 12 to shoot. So the Nets interaction 6 and 14 against the Western Conference ",00:17:15.000163,00:17:30.000141,SPORTS_BROADCASTING,0,0,,
65,0,66,2024-04-27 20:49:11.592305,0," this season, Golden State 9 and 6 versus the East. Claxton hands it off, Thomas move it up, Claxton finishes. Good chemistry between Thomas and Claxton. ",00:17:30.000142,00:17:45.000097,SPORTS_BROADCASTING,0,0,,
66,0,67,2024-04-27 20:49:11.613883,0,"

Beautiful play. We keep referencing that Philadelphia game, Thomas had 40, but early on he was  the teammates 
Isolation, Kuminga kick out Podziemski. Has he got a challenge? Claxton brings him to the outside, Thompson fumbled it for a moment. Six to shoot, ",00:17:45.000098,00:18:00.000842,SPORTS_BROADCASTING,0,0,,
67,0,68,2024-04-27 20:49:11.631883,0," swing it, Podziemski, the floater, high off the window, rebound to zone miss, and a shot clock violation, never hit the rim on the first attempt. We've got a timeout, 6:42 ",00:18:00.000843,00:18:15.000616,SPORTS_BROADCASTING,0,0,,
68,0,69,2024-04-27 20:49:11.650882,0," left in this first quarter.

Nice play-making here from Thomas to Claxton, a little tip-in here in Brooklyn, up by one.

If possible was a place, it would be Brooklyn, a borough that runs on hustle ",00:18:15.000617,00:18:30.000273,SPORTS_BROADCASTING-TO-COMMERCIAL,1,1,00:18:25.000000,3
69,0,70,2024-04-27 20:49:11.670883,0," and grit, where opportunities hide in plain sight, and an assist is just a glance away. At Barclays Bank, we bring the spirit of Brooklyn to the world. Always staying a play ahead, digging deeper to better understand our clients' needs, ",00:18:30.000274,00:18:45.000418,COMMERCIAL,2,1,,
70,0,71,2024-04-27 20:49:11.689885,0," and turning possibility into action, just like Brooklyn does every day.

Barclays Corporate and Investment Bank, powering possible.

And the first rule of marketing? Never do the same thing twice.

Gronk...

I've ",00:18:45.000419,00:19:00.000208,COMMERCIAL-TO-ANOTHER COMMERCIAL,3,1,,
71,0,72,2024-04-27 20:49:11.710468,0," got to do the Kick of Destiny again.

What?

But this time, fans can pick if I'll make or miss for $10 million.

Interesting.

And right now, new customers bet $5, and get $200 in bonus bets if you win.

Let's do it.

Wait. Weren't we going to use the new guy this year?

Should I go?

I'm doing the ",00:19:00.000209,00:19:15.000075,COMMERCIAL,2,1,,
72,0,73,2024-04-27 20:49:11.729466,0," kick again.

You're going to miss, Gronk.

Bet $5, you get $200 in bonus bets if you win. The Kick of Destiny 2, live Super Bowl Sunday. Make your free pick now on FanDuel.

Dear winter, we're coming. ",00:19:15.000076,00:19:30.000188,COMMERCIAL-TO-ANOTHER COMMERCIAL,3,1,,
73,0,74,2024-04-27 20:49:11.749466,0," Our squad of vehicles, with all-wheel drive and four-wheel drive, is ready to take you on. Safety's the name of our game.

Bundle up. Toyota.

Get President's Day savings all month ",00:19:30.000189,00:19:45.000427,COMMERCIAL,2,1,,
74,0,75,2024-04-27 20:49:11.767469,0," long, with SUV leases starting as low as $279 a month. Find yours at toyota.com. Toyota. Let's go places.

You're looking to smash ",00:19:45.000428,00:20:00.000184,COMMERCIAL-TO-ANOTHER COMMERCIAL,3,1,,
75,0,76,2024-04-27 20:49:11.792468,0," that bowl of fries, potatoes, cheese, and bacon. The new smash potato bowl is just $3.49, only at KFC.

All the parts you need, at the prices you want, guaranteed ",00:20:00.000185,00:20:15.000213,COMMERCIAL-TO-ANOTHER COMMERCIAL,3,1,,
76,0,77,2024-04-27 20:49:11.811674,0," to fit every time, so you can keep your ride or die alive.

One-point lead for Brooklyn, time for the injury report. It's brought ",00:20:15.000214,00:20:30.000096,COMMERCIAL-TO-SPORTS_BROADCASTING,4,1,00:20:25.000000,2
77,0,78,2024-04-27 20:49:11.831695,0," to you by Morgan & Morgan, America's largest injury law firm. Here are the latest updates.

Dorian Finney-Smith, that left ankle sprain, missing his fourth straight game. Day'Ron Sharpe, hyperextended left knee, he's missing his twelfth straight game. He will not play tomorrow night, won't be available ",00:20:30.000097,00:20:45.000033,SPORTS_BROADCASTING,0,0,,
78,0,79,2024-04-27 20:49:11.851673,0," against Dallas. Dariq Whitehead, the left shin stress reaction, out for the rest of the season, had been playing with the Long Island Nets. And Ben Simmons, injury maintenance for left lower back. He is expected to be available tomorrow night versus the Mavs.

Which will be important, ",00:20:45.000034,00:21:00.000088,SPORTS_BROADCASTING,0,0,,
79,0,80,2024-04-27 20:49:11.889672,0," if you think about facing Luka Doni, Kyrie Irving making his return back here at the Barclays Center, the high-powered offense that Dallas presents. And every time Ben has gone on the floor two games, but the tempo, the pace, the push, all of that ",00:21:00.000089,00:21:15.000363,SPORTS_BROADCASTING,0,0,,
80,0,81,2024-04-27 20:49:11.910112,0," is factored into his imprint on the game.

And those two games have been the two highest scoring non-overtime games of the season for Brooklyn.

Bridges open, look, short on a free ball. ",00:21:15.000364,00:21:30.000170,SPORTS_BROADCASTING,0,0,,
81,0,82,2024-04-27 20:49:11.930107,0," Moses Moody back in the lineup for Golden State. He's now in there for the Warriors, replacing Thompson. Kuminga way outside, now Podziemski with six to shoot. Curry penetrates, ",00:21:30.000171,00:21:45.000203,SPORTS_BROADCASTING,0,0,,
82,0,83,2024-04-27 20:49:11.949107,0," dishes, Green lays it in.

Holds onto it just long enough. You have got to always have your focus on Curry. He just waits for the perfect timing.

Jumper, Thomas...short. ",00:21:45.000204,00:22:00.000413,SPORTS_BROADCASTING,0,0,,
83,0,84,2024-04-27 20:49:11.969125,0," The Nets are going to make some changes here next whistle, with Smith, Walker, and O'Neale waiting. High-low action, and it's going to be a foul on Thomas. It's going to be number two on Cam Thomas. I'm not sure that ball was catchable from the ",00:22:00.000414,00:22:15.000078,SPORTS_BROADCASTING,0,0,,
84,0,85,2024-04-27 20:49:11.988549,0," Nets' perspective. And Draymond Green draws it.

Take a look at this again. So Thomas...yeah, that's a tough call. I don't know if there was a little bit of an ",00:22:15.000079,00:22:30.000271,SPORTS_BROADCASTING,0,0,,
85,0,86,2024-04-27 20:49:12.008975,0," exaggeration by Green, where he felt Thomas.

So Thomas remains in there with those two fouls. Right now, he's matched up with Lester Quinones, who just checked in. ",00:22:30.000272,00:22:45.000211,SPORTS_BROADCASTING,0,0,,
86,0,87,2024-04-27 20:49:12.031946,0," And he is out of bounds. Quinones, turnover, Warriors, 10-9, Golden State in front, the Nets opened up a five-game home stand tonight. Front end of a back-to-back, ",00:22:45.000212,00:23:00.000288,SPORTS_BROADCASTING,0,0,,
87,0,88,2024-04-27 20:49:12.052946,0," with the Mavericks on the schedule tomorrow night. O'Neale in there, Thomas swing, that's shooting practice. Johnson got three. Time out, Steph Curry.

Eh, Steph Curry is telling these guys that they've got to talk and communicate. ",00:23:00.000289,00:23:15.000148,SPORTS_BROADCASTING,0,0,,
88,0,89,2024-04-27 20:49:12.071946,0," He's got some younger players in, and just a breakdown because there is so much concern about Cam Thomas, and the Cam Johnson gets open.

Sports, they connect us all. ",00:23:15.000149,00:23:30.000359,SPORTS_BROADCASTING-TO-COMMERCIAL,1,1,00:23:28.000000,2
89,0,90,2024-04-27 20:49:12.092955,0," And with free mobile internet service from Maxsip Telecom, it's easier than ever to stay connected. Young or old, rookie or veteran, now you can get 15 gigabytes of monthly internet totally free if you qualify through the Affordable Connectivity Program. Plus, ",00:23:30.000360,00:23:45.000173,COMMERCIAL,2,1,,
90,0,91,2024-04-27 20:49:12.111468,0," receive a 4G Android tablet for just $20. Now, that's a big assist.

Call 888-348-3003 to find out if you qualify. Maxsip Telecom, the official ACP provider of the Brooklyn Nets.

Okay, so Domino's Perfect Combo includes two ",00:23:45.000174,00:24:00.000137,COMMERCIAL-TO-ANOTHER COMMERCIAL,3,1,,
91,0,92,2024-04-27 20:49:12.131468,0," medium one-topping pizzas, 16 parmesan bread bites, eight cinnamon twists, and a two-liter of Coke. Today we're on the street, asking real people how much they think it all costs.

All of it?

All of it.

$44 or $45?

$34.99.

The two pizzas are probably $10 each.

$75? ",00:24:00.000138,00:24:15.000231,COMMERCIAL,2,1,,
92,0,93,2024-04-27 20:49:12.150468,0,"

What if I told you that this Domino's Perfect Combo is only $19.99?

Shut the front door.

Now way.

$19.99? This'll feed a family. It's Domino's Perfect Combo, and it's all just $19.99.

The Brooklyn ",00:24:15.000232,00:24:30.000116,COMMERCIAL-TO-ANOTHER COMMERCIAL,3,1,,
93,0,94,2024-04-27 20:49:12.170468,0," way is something that you can't describe. You've just got to know it, you've got to feel it, you've got to be here.

We can run you on the swag, the lingo, the culture, the look. We're just the source.

We got everything. Everything you want, we got. ",00:24:30.000117,00:24:45.000075,COMMERCIAL,2,1,,
