block_id,session_id,sequence_num,trans_dt,source_id,cur_chunk,cur_chunk_start,cur_chunk_end,ground_truth_label,ground_truth_label_num,ground_truth_label_c,chunk_id,chunk_overlap_ind
22,0,23,2024-04-27 20:50:53.481794,0,A victory would get them back to 500 at home.,00:01:45.000261,00:02:00.000029,SPORTS_BROADCASTING,0,0,6,N
23,0,24,2024-04-27 20:50:53.537598,0,"Meanwhile, the Warriors are just trying to hang in it in the Western Conference, just hoping to get to the play.",00:02:00.000030,00:02:15.000069,SPORTS_BROADCASTING,0,0,7,Y
24,0,25,2024-04-27 20:50:53.550598,0,"And obviously, if they can go on a run, maybe they can qualify for a playoff spot.",00:02:00.000030,00:02:15.000069,SPORTS_BROADCASTING,0,0,7,N
25,0,26,2024-04-27 20:50:53.568947,0,But this is not what we're accustomed to with Golden State.,00:02:00.000030,00:02:15.000069,SPORTS_BROADCASTING,0,0,7,N
26,0,27,2024-04-27 20:50:53.623469,0,"Steph Curry, the numbers are still prolific, they just have not translated into wins consistently.",00:02:15.000070,00:02:30.000278,SPORTS_BROADCASTING,0,0,8,Y
27,0,28,2024-04-27 20:50:53.636627,0,"And Steph Curry just named to his 10th All-Star game, and he is playing like a supernova.",00:02:15.000070,00:02:30.000278,SPORTS_BROADCASTING,0,0,8,N
28,0,29,2024-04-27 20:50:53.652954,0,It is tough for anyone to try and slow him down.,00:02:15.000070,00:02:30.000278,SPORTS_BROADCASTING,0,0,8,N
29,0,30,2024-04-27 20:50:53.721825,0,"Case in point, Saturday night at Atlanta, and he was doing anything he wanted.",00:02:30.000279,00:02:45.000114,SPORTS_BROADCASTING,0,0,9,Y
30,0,31,2024-04-27 20:50:53.776876,0,"And if you watch how Steph Curry moves with the ball, without the ball, it doesn't matter, there is a fluid nature to the skill set that he brings to the table, and also how he just has a patience, a poise, a quickness, that he never gets fed up, and he was lights out.",00:02:45.000115,00:03:00.000015,SPORTS_BROADCASTING,0,0,10,Y
31,0,32,2024-04-27 20:50:53.789242,0,"This was a loss, though, against the Hawks in OT.",00:02:45.000115,00:03:00.000015,SPORTS_BROADCASTING,0,0,10,N
32,0,33,2024-04-27 20:50:53.801362,0,"Curry goes for 60 points, 38 field goal attempts, he made 10 threes, the second oldest player with a 60-point game.",00:02:45.000115,00:03:00.000015,SPORTS_BROADCASTING,0,0,10,N
33,0,34,2024-04-27 20:50:53.863262,0,The late Kobe Bryant did it at the age of 37.,00:03:00.000016,00:03:15.000388,SPORTS_BROADCASTING,0,0,11,Y
34,0,35,2024-04-27 20:50:53.874987,0,Countdown to tipoff continues.,00:03:00.000016,00:03:15.000388,SPORTS_BROADCASTING,0,0,11,N
35,0,36,2024-04-27 20:50:53.894119,0,"Coming up, Bridges from downtown.",00:03:00.000016,00:03:15.000388,SPORTS_BROADCASTING,0,0,11,N
36,0,37,2024-04-27 20:50:53.907116,0,Meghan has that story as we get you ready for the Nets and Warriors here on YES.,00:03:00.000016,00:03:15.000388,SPORTS_BROADCASTING,0,0,11,N
37,0,38,2024-04-27 20:50:54.001386,0,"

Welcome to the home of blackjack, with the largest library of blackjack games online, Spanish 21, Live Dealin', Vacation Blackjack, and more.",00:03:15.000389,00:03:30.000303,COMMERCIAL,2,1,12,N
38,0,39,2024-04-27 20:50:54.053706,0,Download America's number one online casino app to enjoy this great offer.,00:03:30.000304,00:03:45.000200,COMMERCIAL,2,1,13,Y
39,0,40,2024-04-27 20:50:54.066719,0,"DraftKings Casino, the crown is yours.",00:03:30.000304,00:03:45.000200,COMMERCIAL,2,1,13,N
40,0,41,2024-04-27 20:50:54.078259,0,"From starting strong, to it's been a week, so many ways to save.",00:03:30.000304,00:03:45.000200,COMMERCIAL,2,1,13,N
41,0,42,2024-04-27 20:50:54.130934,0," Life ready, wallet happy, that's 365 by Whole Foods Market.",00:03:45.000201,00:04:00.000168,COMMERCIAL,2,1,14,N
42,0,43,2024-04-27 20:50:54.148164,0,Powering sustainable growth in a changing world.,00:03:45.000201,00:04:00.000168,COMMERCIAL,2,1,14,N
43,0,44,2024-04-27 20:50:54.160583,0,Powering financial solutions that transform industries.,00:03:45.000201,00:04:00.000168,COMMERCIAL,2,1,14,N
44,0,45,2024-04-27 20:50:54.225343,0,Powering innovation with access to capital.,00:04:00.000169,00:04:15.000133,COMMERCIAL,2,1,15,Y
45,0,46,2024-04-27 20:50:54.241879,0,Powering critical decisions with precise data and insights.,00:04:00.000169,00:04:15.000133,COMMERCIAL,2,1,15,N
46,0,47,2024-04-27 20:50:54.258939,0,Powering seamless execution in evolving markets.,00:04:00.000169,00:04:15.000133,COMMERCIAL,2,1,15,N
47,0,48,2024-04-27 20:50:54.322676,0,We deliver our entire global bank to power new possibilities for you.,00:04:15.000134,00:04:30.000291,COMMERCIAL,2,1,16,Y
48,0,49,2024-04-27 20:50:54.335669,0,"Barclays Corporate and Investment Bank, powering possible.",00:04:15.000134,00:04:30.000291,COMMERCIAL,2,1,16,N
49,0,50,2024-04-27 20:50:54.348154,0,"Well, hold on to the little things
Because in the morning, everything is changing...

Is this yours?",00:04:15.000134,00:04:30.000291,COMMERCIAL,2,1,16,N
50,0,51,2024-04-27 20:50:54.410677,0, You ready?,00:04:30.000292,00:04:45.000115,COMMERCIAL,2,1,17,N
51,0,52,2024-04-27 20:50:54.428595,0,Surprise.,00:04:30.000292,00:04:45.000115,COMMERCIAL,2,1,17,N
52,0,53,2024-04-27 20:50:54.441478,0,I got this.,00:04:30.000292,00:04:45.000115,COMMERCIAL,2,1,17,N
53,0,54,2024-04-27 20:50:54.454483,0,It's yours now.,00:04:30.000292,00:04:45.000115,COMMERCIAL,2,1,17,N
54,0,55,2024-04-27 20:50:54.511602,0,"

It's just a moment they call a lifetime 

Are we having a good time so far tonight?",00:04:45.000116,00:05:00.000053,COMMERCIAL,2,1,18,N
55,0,56,2024-04-27 20:50:54.561490,0,"Hi, I'm Mark Franzoso, and I am so proud to be chosen ""Westchester Magazine's"" Best Roofing Company for the sixth year in a row.",00:05:00.000054,00:05:15.000140,COMMERCIAL,2,1,19,Y
56,0,57,2024-04-27 20:50:54.579795,0,"This year, we also won Best General Contractor for our excellence in siding and window replacement.",00:05:00.000054,00:05:15.000140,COMMERCIAL,2,1,19,N
57,0,58,2024-04-27 20:50:54.595702,0,Find out why Franzoso Contracting is the best choice for your home.,00:05:00.000054,00:05:15.000140,COMMERCIAL,2,1,19,N
58,0,59,2024-04-27 20:50:54.613557,0,Give us a call today.,00:05:00.000054,00:05:15.000140,COMMERCIAL,2,1,19,N
59,0,60,2024-04-27 20:50:54.685231,0,"Franzoso Contracting, celebrating 43 years in business.",00:05:15.000141,00:05:24.000000,COMMERCIAL,2,1,20,Y
60,0,61,2024-04-27 20:50:54.698591,0,Let us renew your home.,00:05:15.000141,00:05:24.000000,COMMERCIAL,2,1,20,N
61,0,62,2024-04-27 20:50:54.752588,0,"Welcome back to Barclays Center, as we get you set for a fun Monday night matchup between the Brooklyn Nets and the Golden State Warriors.",00:05:30.000366,00:05:45.000035,SPORTS_BROADCASTING,0,0,21,Y
62,0,63,2024-04-27 20:50:54.769456,0,"What's up, everyone?",00:05:30.000366,00:05:45.000035,SPORTS_BROADCASTING,0,0,21,N
63,0,64,2024-04-27 20:50:54.787366,0,"I am Meghan Triplett, and tonight begins a five-game home stretch for the Brooklyn Nets team.",00:05:30.000366,00:05:45.000035,SPORTS_BROADCASTING,0,0,21,N
64,0,65,2024-04-27 20:50:54.851478,0,And Nets fans can maybe expect Mikal Bridges shooting from downtown.,00:05:45.000036,00:06:15.000441,SPORTS_BROADCASTING,0,0,22,Y
65,0,66,2024-04-27 20:50:54.868408,0,Check out his latest numbers.,00:05:45.000036,00:06:15.000441,SPORTS_BROADCASTING,0,0,22,N
66,0,67,2024-04-27 20:50:54.880727,0,Mikal has made 5-plus-3 in a career-best three straight games.,00:05:45.000036,00:06:15.000441,SPORTS_BROADCASTING,0,0,22,N
67,0,68,2024-04-27 20:50:54.892707,0,"If he makes it four tonight, that would tie the franchise record.",00:05:45.000036,00:06:15.000441,SPORTS_BROADCASTING,0,0,22,N
68,0,69,2024-04-27 20:50:54.904709,0,Mikal has also multiple threes in a career-long 12 straight games.,00:05:45.000036,00:06:15.000441,SPORTS_BROADCASTING,0,0,22,N
69,0,70,2024-04-27 20:50:54.917662,0,"Earlier today at Shootaround, Mikal spoke about his shooting from downtown.",00:05:45.000036,00:06:15.000441,SPORTS_BROADCASTING,0,0,22,N
70,0,71,2024-04-27 20:50:54.930755,0,I'm not taking threes because I don't want to take middies.,00:05:45.000036,00:06:15.000441,SPORTS_BROADCASTING,0,0,22,N
71,0,72,2024-04-27 20:50:54.942715,0,"I don't think that's... That's not the situation, so I don't know how everybody thinks.",00:05:45.000036,00:06:15.000441,SPORTS_BROADCASTING,0,0,22,N
72,0,73,2024-04-27 20:50:55.001429,0,"It's just, you know, I've just been working a lot on just pulling threes in general for a while, and it just feels really good.",00:06:15.000442,00:06:30.000090,SPORTS_BROADCASTING,0,0,23,Y
73,0,74,2024-04-27 20:50:55.053866,0,"And you know, how the defense is, the big might be back, so it just makes it, especially if I'm liking the shot...I just won't shoot nothing I don't like, and I'm not comfortable with it.",00:06:30.000091,00:06:45.000721,SPORTS_BROADCASTING,0,0,24,Y
74,0,75,2024-04-27 20:50:55.066932,0,"And I feel like earlier in the season, even last year, I just wasn't that capable of making that many pull-up threes as much as I want.",00:06:30.000091,00:06:45.000721,SPORTS_BROADCASTING,0,0,24,N
75,0,76,2024-04-27 20:50:55.083345,0,"But just feeling comfortable with it, just as more as I work out every day.",00:06:30.000091,00:06:45.000721,SPORTS_BROADCASTING,0,0,24,N
76,0,77,2024-04-27 20:50:55.095613,0,That's why I'm just adding to it.,00:06:30.000091,00:06:45.000721,SPORTS_BROADCASTING,0,0,24,N
77,0,78,2024-04-27 20:50:55.108610,0,It's nothing to do with taking away middies.,00:06:30.000091,00:06:45.000721,SPORTS_BROADCASTING,0,0,24,N
78,0,79,2024-04-27 20:50:55.121093,0,I love middies.,00:06:30.000091,00:06:45.000721,SPORTS_BROADCASTING,0,0,24,N
79,0,80,2024-04-27 20:50:55.179038,0,I'll never take it out of my game.,00:06:45.000722,00:07:00.000113,SPORTS_BROADCASTING,0,0,25,Y
80,0,81,2024-04-27 20:50:55.190055,0,"It's just, I'm just trying to add towards, you know, my game.",00:06:45.000722,00:07:00.000113,SPORTS_BROADCASTING,0,0,25,N
81,0,82,2024-04-27 20:50:55.202970,0,That's all.,00:06:45.000722,00:07:00.000113,SPORTS_BROADCASTING,0,0,25,N
82,0,83,2024-04-27 20:50:55.220749,0,It's the Brooklyn Nets and the Golden State Warriors coming up right here on YES.,00:06:45.000722,00:07:00.000113,SPORTS_BROADCASTING,0,0,25,N
83,0,84,2024-04-27 20:50:55.231784,0,Ian Eagle and Sarah Kustok have the call.,00:06:45.000722,00:07:00.000113,SPORTS_BROADCASTING,0,0,25,N
84,0,85,2024-04-27 20:50:55.283952,0,"

In 1975, when the ABA merged with the NBA, Julius Irving brought his signature slam dunk to mainstream basketball.",00:07:00.000114,00:07:30.000341,SPORTS_BROADCASTING,0,0,26,N
85,0,86,2024-04-27 20:50:55.296511,0,"Better known as Dr. J, not only was he known for his high-flying acrobatics, but also was one of the first to have a shoe marketed under his name.",00:07:00.000114,00:07:30.000341,SPORTS_BROADCASTING,0,0,26,N
86,0,87,2024-04-27 20:50:55.308632,0,"Julius ""Dr. J"" Irving, one of the game's original pioneers.",00:07:00.000114,00:07:30.000341,SPORTS_BROADCASTING,0,0,26,N
87,0,88,2024-04-27 20:50:55.398706,0,"

Having health insurance is important, so if anyone in your family has Medicaid or CHIP, listen up.",00:07:30.000342,00:07:45.000096,COMMERCIAL,2,1,27,N
88,0,89,2024-04-27 20:50:55.468858,0,"Check the mail for your renewal form, complete the form, and mail it back right away so you don't lose your coverage.",00:07:45.000097,00:08:00.000060,COMMERCIAL,2,1,28,Y
89,0,90,2024-04-27 20:50:55.482088,0,"If you do lose your coverage, visit healthcare.gov to see if you're eligible to enroll in a low-cost, quality health plan.",00:07:45.000097,00:08:00.000060,COMMERCIAL,2,1,28,N
90,0,91,2024-04-27 20:50:55.494183,0,Healthcare.gov.,00:07:45.000097,00:08:00.000060,COMMERCIAL,2,1,28,N
91,0,92,2024-04-27 20:50:55.556890,0,"

We're building a better postal service, all parts working in sync to move your business forward.",00:08:00.000061,00:08:15.000060,COMMERCIAL,2,1,29,N
92,0,93,2024-04-27 20:50:55.611368,0,"With a streamlined shipping network, and new high-speed processing and delivery centers for more value, more reliability, and more on-time deliveries.",00:08:15.000061,00:08:30.000327,COMMERCIAL,2,1,30,Y
93,0,94,2024-04-27 20:50:55.628677,0,"The United States Postal Service is built for how you business, and how you business is with simple, affordable, and reliable shipping.",00:08:15.000061,00:08:30.000327,COMMERCIAL,2,1,30,N
94,0,95,2024-04-27 20:50:55.645726,0,USPS Ground Advantage.,00:08:15.000061,00:08:30.000327,COMMERCIAL,2,1,30,N
95,0,96,2024-04-27 20:50:55.694605,0,"

If you watch YES Network on TV, then you get the YES app for free.",00:08:30.000328,00:08:45.000230,COMMERCIAL,2,1,31,N
96,0,97,2024-04-27 20:50:55.747185,0,"Download the app to stream the Nets, and experience the game in a whole new way, with a live stat overlay to track your favorite players, free-to-play gaming with big cash prizes, and earn and redeem rewards for gift cards and gear.",00:08:45.000231,00:09:00.000055,COMMERCIAL,2,1,32,Y
97,0,98,2024-04-27 20:50:55.759040,0,"So remember, if you get YES on TV, then you get the YES app for free.",00:08:45.000231,00:09:00.000055,COMMERCIAL,2,1,32,N
98,0,99,2024-04-27 20:50:55.770852,0,Download now.,00:08:45.000231,00:09:00.000055,COMMERCIAL,2,1,32,N
99,0,100,2024-04-27 20:50:55.828047,0,"

Nets basketball on YES is brought to you by FanDuel.",00:09:00.000056,00:09:15.000450,COMMERCIAL,2,1,33,N
100,0,101,2024-04-27 20:50:55.841155,0,"Right now, new customers get $200 in bonus bets when your first $5 bet hits.",00:09:00.000056,00:09:15.000450,COMMERCIAL,2,1,33,N
101,0,102,2024-04-27 20:50:55.902391,0,"Download the FanDuel Sportsbook app now, and start making every moment more.",00:09:15.000451,00:09:30.000186,COMMERCIAL,2,1,34,Y
102,0,103,2024-04-27 20:50:55.920392,0,"By Netsstore.com, shop the latest Nets gear all year round at the official online store of the Brooklyn Nets.",00:09:15.000451,00:09:30.000186,COMMERCIAL,2,1,34,N
103,0,104,2024-04-27 20:50:55.932708,0,"And by Morgan & Morgan, America's largest injury law firm.",00:09:15.000451,00:09:30.000186,COMMERCIAL,2,1,34,N
104,0,105,2024-04-27 20:50:56.027052,0, Injured?,00:09:30.000187,00:09:40.000000,COMMERCIAL,2,1,35,N
105,0,106,2024-04-27 20:50:56.038848,0,Visit forthepeople.com.,00:09:30.000187,00:09:40.000000,COMMERCIAL,2,1,35,N
106,0,107,2024-04-27 20:50:56.057112,0,"We're set to go, the Nets and the Warriors.",00:09:40.000000,00:09:45.000132,SPORTS_BROADCASTING,0,0,35,N
107,0,108,2024-04-27 20:50:56.074330,0,"Let's check out the starting lineups, presented by Webull, learning, sharing, investing.",00:09:40.000000,00:09:45.000132,SPORTS_BROADCASTING,0,0,35,N
108,0,109,2024-04-27 20:50:56.123166,0,"It is the rookie, Brandin Podziemski, getting the start.",00:09:45.000133,00:10:00.000188,SPORTS_BROADCASTING,0,0,36,Y
109,0,110,2024-04-27 20:50:56.135738,0,Anthony Wiggins is out with a foot injury...I should say Andrew Wiggins out with a foot injury.,00:09:45.000133,00:10:00.000188,SPORTS_BROADCASTING,0,0,36,N
110,0,111,2024-04-27 20:50:56.193673,0,"Draymond Green, of course, back with Golden State, and the offense has lifted up a couple of levels with him in the lineup.",00:10:00.000189,00:10:15.000534,SPORTS_BROADCASTING,0,0,37,Y
111,0,112,2024-04-27 20:50:56.205403,0,The Nets still dealing with injuries of their own.,00:10:00.000189,00:10:15.000534,SPORTS_BROADCASTING,0,0,37,N
112,0,113,2024-04-27 20:50:56.217140,0,Dorian Finney-Smith continues to sit.,00:10:00.000189,00:10:15.000534,SPORTS_BROADCASTING,0,0,37,N
113,0,114,2024-04-27 20:50:56.231768,0,"Smith has got the left ankle sprain, missing his fourth straight game.",00:10:00.000189,00:10:15.000534,SPORTS_BROADCASTING,0,0,37,N
114,0,115,2024-04-27 20:50:56.283209,0,"But Dennis Smith Jr. is back, with a right foot injury.",00:10:15.000535,00:10:30.000424,SPORTS_BROADCASTING,0,0,38,Y
115,0,116,2024-04-27 20:50:56.296314,0,"He didn't play against Philadelphia, he will be available tonight, and should play some valuable minutes.",00:10:15.000535,00:10:30.000424,SPORTS_BROADCASTING,0,0,38,N
116,0,117,2024-04-27 20:50:56.313221,0,"Yeah, without a doubt.",00:10:15.000535,00:10:30.000424,SPORTS_BROADCASTING,0,0,38,N
117,0,118,2024-04-27 20:50:56.362089,0,"And this Nets team has dealt with injuries, as all teams have, across the league, but the in and out combinations of lineups, rotations, all of those things are the continued work of Jacque Vaughn, and his coaching staff, to try and piece things together.",00:10:30.000425,00:11:00.000042,SPORTS_BROADCASTING,0,0,39,Y
118,0,119,2024-04-27 20:50:56.377067,0,"The officiating crew tonight, Mark Lindsay, Nick Buchert, and Nate Green.",00:10:30.000425,00:11:00.000042,SPORTS_BROADCASTING,0,0,39,N
119,0,120,2024-04-27 20:50:56.390531,0,"The Nets won three of their last four, they went 3 and 12 over the previous 15 games, and the Nets control the tip.",00:10:30.000425,00:11:00.000042,SPORTS_BROADCASTING,0,0,39,N
120,0,121,2024-04-27 20:50:56.406441,0,"A blowout win over Philadelphia, 136 to 121, the score doesn't even indicate how lopsided it was.",00:10:30.000425,00:11:00.000042,SPORTS_BROADCASTING,0,0,39,N
121,0,122,2024-04-27 20:50:56.453014,0," The Nets led by as many as 30, and never trailed against the Sixers, and Cam Thomas went for 40 points.",00:11:00.000043,00:11:15.000337,SPORTS_BROADCASTING,0,0,40,N
122,0,123,2024-04-27 20:50:56.465768,0,"Defense, Green, Thomas gives it up, shot clock is winding down.",00:11:00.000043,00:11:15.000337,SPORTS_BROADCASTING,0,0,40,N
123,0,124,2024-04-27 20:50:56.528179,0,"Claxton takes it in, the adjustment didn't get it over the rim.",00:11:15.000338,00:11:30.000069,SPORTS_BROADCASTING,0,0,41,Y
124,0,125,2024-04-27 20:50:56.539750,0,"And for Kuminga, nice help, coming over and being ready for that move.",00:11:15.000338,00:11:30.000069,SPORTS_BROADCASTING,0,0,41,N
125,0,126,2024-04-27 20:50:56.557551,0,And the Curry jumper is (indiscernible) A lot of Steph Curry fans in attendance tonight here in Brooklyn.,00:11:15.000338,00:11:30.000069,SPORTS_BROADCASTING,0,0,41,N
126,0,127,2024-04-27 20:50:56.614192,0, Nets shot at 52% as a team against Philadelphia.,00:11:30.000070,00:11:45.000347,SPORTS_BROADCASTING,0,0,42,N
127,0,128,2024-04-27 20:50:56.633096,0,Thomas is fouled by Podziemski.,00:11:30.000070,00:11:45.000347,SPORTS_BROADCASTING,0,0,42,N
128,0,129,2024-04-27 20:50:56.688222,0,"You could just copyright that Cam Thomas, he knows when he's got a defender beat.",00:11:45.000348,00:12:00.000258,SPORTS_BROADCASTING,0,0,43,Y
129,0,130,2024-04-27 20:50:56.700172,0,"And he does such a good job, as you see him turn the corner, getting to his spot.",00:11:45.000348,00:12:00.000258,SPORTS_BROADCASTING,0,0,43,N
130,0,131,2024-04-27 20:50:56.713210,0,"He got Podziemski on his hip, makes a little bit of contact.",00:11:45.000348,00:12:00.000258,SPORTS_BROADCASTING,0,0,43,N
131,0,132,2024-04-27 20:50:56.761081,0,"But that shot fake gets him up in the air, and that's where, for Thomas, he's savvy in knowing who's on him, and how to use his body control, and angles.",00:12:00.000259,00:12:15.000243,SPORTS_BROADCASTING,0,0,44,Y
132,0,133,2024-04-27 20:50:56.778017,0,"Jump, two free throws here for Cam Thomas.",00:12:00.000259,00:12:15.000243,SPORTS_BROADCASTING,0,0,44,N
133,0,134,2024-04-27 20:50:56.794452,0,Nets on the board.,00:12:00.000259,00:12:15.000243,SPORTS_BROADCASTING,0,0,44,N
134,0,135,2024-04-27 20:50:56.806373,0,"Nets have lost nine straight to Philadelphia, including playoffs, prior to that victory on Saturday.",00:12:00.000259,00:12:15.000243,SPORTS_BROADCASTING,0,0,44,N
135,0,136,2024-04-27 20:50:56.858084,0," Currently in the 11th spot in the Eastern Conference, a game-and-a-half behind Atlanta at 10, two behind Chicago at 9.",00:12:15.000244,00:12:30.000410,SPORTS_BROADCASTING,0,0,45,N
136,0,137,2024-04-27 20:50:56.914779,0,"And the impressive part, in fairness, Joel Embiid was not playing, Tobias Harris was not playing, Philadelphia has been playing without De'Anthony Melton, and others, but they set the tone early, and they took care of business.",00:12:30.000411,00:12:45.000122,SPORTS_BROADCASTING,0,0,46,Y
137,0,138,2024-04-27 20:50:56.926061,0,"High-low action, but a whistle stops play, and it's Cam Thomas called for the foul before Kuminga got the ball, so on the side.",00:12:30.000411,00:12:45.000122,SPORTS_BROADCASTING,0,0,46,N
138,0,139,2024-04-27 20:50:56.986772,0,"And take a look right here, there's a little bit of a wrap to begin with.",00:12:45.000123,00:13:00.000278,SPORTS_BROADCASTING,0,0,47,Y
139,0,140,2024-04-27 20:50:57.003993,0,"watch, they could do a nice job.",00:12:45.000123,00:13:00.000278,SPORTS_BROADCASTING,0,0,47,N
140,0,141,2024-04-27 20:50:57.016213,0,"You would have a wide open layup, and you mentioned it, Kuminga has been playing fantastic for this Golden State team.",00:12:45.000123,00:13:00.000278,SPORTS_BROADCASTING,0,0,47,N
141,0,142,2024-04-27 20:50:57.070367,0,"Johnson knocks it away from Kuminga, and the Nets are on the move.",00:13:00.000279,00:13:15.000401,SPORTS_BROADCASTING,0,0,48,Y
142,0,143,2024-04-27 20:50:57.082841,0,"Bridges, the pull-up...too strong.",00:13:00.000279,00:13:15.000401,SPORTS_BROADCASTING,0,0,48,N
143,0,144,2024-04-27 20:50:57.099826,0,We've got it by Podziemski.,00:13:00.000279,00:13:15.000401,SPORTS_BROADCASTING,0,0,48,N
144,0,145,2024-04-27 20:50:57.112829,0,"Kuminga, last ten games, 23.3 points per game, six rebounds.",00:13:00.000279,00:13:15.000401,SPORTS_BROADCASTING,0,0,48,N
145,0,146,2024-04-27 20:50:57.169392,0,"141-134 loss to Atlanta in overtime on Saturday night, third game of a five-game road trip for Golden State.",00:13:15.000402,00:13:30.000164,SPORTS_BROADCASTING,0,0,49,Y
146,0,147,2024-04-27 20:50:57.181052,0,Kuminga one and done.,00:13:15.000402,00:13:30.000164,SPORTS_BROADCASTING,0,0,49,N
147,0,148,2024-04-27 20:50:57.191705,0,"The impressive thing with Kuminga is how efficient he has been from the  It's not just about the numbers, but how accurate he's been.",00:13:15.000402,00:13:30.000164,SPORTS_BROADCASTING,0,0,49,N
148,0,149,2024-04-27 20:50:57.251155,0,"

We're tied at two.",00:13:30.000165,00:13:45.000314,SPORTS_BROADCASTING,0,0,50,N
149,0,150,2024-04-27 20:50:57.262162,0,"Bridges takes it at the rookie, the floater off.",00:13:30.000165,00:13:45.000314,SPORTS_BROADCASTING,0,0,50,N
150,0,151,2024-04-27 20:50:57.274423,0,Rebounded by Green.,00:13:30.000165,00:13:45.000314,SPORTS_BROADCASTING,0,0,50,N
151,0,152,2024-04-27 20:50:57.286946,0,"Podziemski, a rookie out of Santa Clara, has fit in nicely with his Golden State squad.",00:13:30.000165,00:13:45.000314,SPORTS_BROADCASTING,0,0,50,N
